,device,dataset,exp_type,lp_model,attack_method,attack_goal,attack_rate,outputs,seed,datasetsDir,best_test_result,best_val_result
0,cuda:0,PubMed,poisoning,node2vec,pgd,integrity,0.2,outputs,6,datasets,[0.82003269 0.7682026  0.68960071 0.81825483 0.74843925],[0.83045257 0.78468275 0.72535533 0.81979531 0.7696892 ]
1,cuda:0,CiteSeer,poisoning,gca,pgd,integrity,0.1,outputs,4,datasets,[0.91390566 0.83369923 0.78924257 0.86626506 0.82596207],[0.92571526 0.83738935 0.7906459  0.87009805 0.82847142]
2,cuda:0,CiteSeer,poisoning,gcn,aalp,integrity,0.1,outputs,3,datasets,[0.7917703  0.71746296 0.68166852 0.73447663 0.70708799],[0.83650821 0.77777779 0.77802199 0.77802199 0.77802205]
3,cuda:0,PubMed,poisoning,gcn,dice,availability,0.15,outputs,2,datasets,[0.88347073 0.81504339 0.80813891 0.81945479 0.81375748],[0.8863773  0.81557286 0.8105548  0.81877208 0.81464273]
4,cuda:0,Cora,poisoning,node2vec,aalp,availability,0.1,outputs,7,datasets,[0.74813164 0.6979084  0.4546172  0.88547271 0.60078222],[0.7707998  0.70971566 0.47709322 0.89217132 0.621719  ]
5,cuda:0,Cora,poisoning,deepwalk,minmax,integrity,0.1,outputs,4,datasets,[0.80487429 0.75094604 0.56386    0.90098262 0.69362819],[0.86259206 0.79638672 0.63581491 0.91994178 0.7519334 ]
6,cuda:0,PubMed,poisoning,deepwalk,minmax,availability,0.05,outputs,1,datasets,[0.79703177 0.75776446 0.61058986 0.86528617 0.71596116],[0.79386938 0.75382876 0.60634166 0.86002755 0.71124047]
7,cuda:0,PubMed,poisoning,deepwalk,dice,integrity,0.2,outputs,2,datasets,[0.77108094 0.72887999 0.52695692 0.8839277  0.66028339],[0.7700004  0.74324322 0.53189832 0.86394274 0.65842694]
8,cuda:0,Cora,poisoning,gat,dice,availability,0.05,outputs,8,datasets,[0.87804721 0.80592418 0.74976301 0.84463429 0.79437613],[0.89009889 0.8236692  0.77756655 0.85654449 0.81514698]
9,cuda:0,Cora,poisoning,vgnae,aalp,integrity,0.1,outputs,4,datasets,[0.9134432  0.7384106  0.92999053 0.67236662 0.78046844],[0.94851636 0.7670778  0.97343451 0.68905306 0.80692095]
10,cuda:0,Cora,poisoning,gcn,nodeembeddingattack,integrity,0.15,outputs,7,datasets,[0.87189606 0.8025071  0.79659414 0.80612731 0.80133241],[0.89776873 0.82809222 0.84543324 0.78649235 0.81489837]
11,cuda:0,CiteSeer,poisoning,deepwalk,clga,availability,0.2,outputs,4,datasets,[0.75285538 0.72023255 0.47813955 0.92696124 0.63086838],[0.71691825 0.68947858 0.41899443 0.91277891 0.57434589]
12,cuda:0,Cora,poisoning,vgnae,dice,availability,0.05,outputs,5,datasets,[0.9406963  0.76303318 0.9630332  0.68788084 0.80252765],[0.94088754 0.75855513 0.96197718 0.68378378 0.79936809]
13,cuda:0,Cora,poisoning,gat,dice,availability,0.1,outputs,3,datasets,[0.8404623  0.77360719 0.77053827 0.77529693 0.77291024],[0.86198455 0.79261369 0.80113637 0.78770947 0.79436618]
14,cuda:0,CiteSeer,poisoning,gca,random,availability,0.15,outputs,3,datasets,[0.83388115 0.76884544 0.68797708 0.82071716 0.74850762],[0.8359918  0.77007645 0.68068832 0.82887077 0.74750656]
15,cuda:0,Cora,poisoning,gca,pgd,availability,0.2,outputs,7,datasets,[0.90979667 0.83067983 0.79776245 0.85398436 0.8249166 ],[0.90094679 0.81551725 0.76551723 0.85057473 0.80580759]
16,cuda:0,Cora,clean,gcn,noattack,integrity,0.05,outputs,10,datasets,[0.87875577 0.80487227 0.81835383 0.79686779 0.80746794],[0.89069921 0.82969642 0.85009485 0.816773   0.83310086]
17,cuda:0,Cora,poisoning,deepwalk,nodeembeddingattack,availability,0.2,outputs,7,datasets,[0.76343405 0.75591713 0.54319525 0.94541711 0.68996608],[0.77705184 0.75533175 0.53791469 0.95178199 0.68735802]
18,cuda:0,Cora,poisoning,gcn,nodeembeddingattack,availability,0.2,outputs,4,datasets,[0.85422149 0.7724852  0.75621301 0.78165138 0.76872176],[0.87953999 0.79265404 0.78909951 0.79474938 0.79191434]
19,cuda:0,CiteSeer,poisoning,gcn,dice,availability,0.15,outputs,4,datasets,[0.77458615 0.68226331 0.8454842  0.63740772 0.72684747],[0.78660781 0.68504369 0.83624452 0.64207882 0.72641063]
20,cuda:0,CiteSeer,poisoning,deepwalk,dice,availability,0.05,outputs,5,datasets,[0.75576802 0.74972558 0.55433589 0.9099099  0.68894953],[0.74867793 0.73953742 0.530837   0.91115314 0.67084205]
21,cuda:0,Cora,poisoning,deepwalk,viking,integrity,0.05,outputs,6,datasets,[0.82208305 0.75514549 0.5600757  0.91854149 0.69585657],[0.84866183 0.7760911  0.59013283 0.93957704 0.72494173]
22,cuda:0,CiteSeer,poisoning,vgnae,pgd,availability,0.05,outputs,3,datasets,[0.96445508 0.77671958 0.98306876 0.69588015 0.81491227],[0.96810554 0.77813163 0.98726118 0.69610778 0.81650572]
23,cuda:0,CiteSeer,poisoning,gat,minmax,availability,0.1,outputs,8,datasets,[0.87970376 0.5        1.         0.5        0.66666669],[0.8890284  0.5        1.         0.5        0.66666669]
24,cuda:0,Cora,poisoning,gca,dice,availability,0.2,outputs,7,datasets,[0.85168639 0.77887326 0.67230046 0.8544153  0.75249606],[0.85532499 0.77678573 0.67293233 0.84934759 0.75091767]
25,cuda:0,PubMed,poisoning,gca,dice,availability,0.15,outputs,5,datasets,[0.88524122 0.81876338 0.78367716 0.84281993 0.81217331],[0.88881684 0.81951958 0.78394228 0.84399658 0.8128618 ]
26,cuda:0,Cora,poisoning,gcn,clga,availability,0.15,outputs,4,datasets,[0.79262143 0.74195546 0.65099013 0.79576397 0.71613348],[0.78744731 0.7227723  0.61881191 0.78125    0.69060779]
27,cuda:0,CiteSeer,poisoning,gat,clga,integrity,0.05,outputs,5,datasets,[0.83178881 0.76728868 0.71240395 0.8002466  0.7537747 ],[0.84080667 0.77747256 0.71208793 0.81921619 0.76190472]
28,cuda:0,PubMed,poisoning,gca,pgd,availability,0.2,outputs,8,datasets,[0.91979293 0.84653443 0.86572063 0.83372843 0.84942341],[0.91997409 0.85042483 0.87659329 0.8329969  0.85423923]
29,cuda:0,CiteSeer,poisoning,deepwalk,aalp,availability,0.2,outputs,2,datasets,[0.67195571 0.64823526 0.33333334 0.90042371 0.48654839],[0.66629289 0.63893253 0.3155416  0.89333332 0.46635726]
30,cuda:0,Cora,poisoning,node2vec,random,integrity,0.05,outputs,1,datasets,[0.823555   0.75804162 0.57994324 0.90080822 0.70561147],[0.85613854 0.7817837  0.62049335 0.91596639 0.73981899]
31,cuda:0,CiteSeer,poisoning,deepwalk,clga,availability,0.1,outputs,8,datasets,[0.73811368 0.72788942 0.50351757 0.91340017 0.64917392],[0.73455623 0.71881282 0.49094567 0.90203327 0.63583064]
32,cuda:0,PubMed,clean,gca,noattack,integrity,0.05,outputs,5,datasets,[0.93669447 0.8661741  0.88326192 0.85407352 0.86842257],[0.93746304 0.86930281 0.88876355 0.8554675  0.87179774]
33,cuda:0,Cora,poisoning,gcn,random,availability,0.1,outputs,4,datasets,[0.81595752 0.75086057 0.74698794 0.75281876 0.749892  ],[0.81633769 0.75431037 0.75       0.75652176 0.75324678]
34,cuda:0,CiteSeer,poisoning,vgnae,random,availability,0.2,outputs,3,datasets,[0.88420113 0.71180238 0.90667886 0.6524029  0.75880551],[0.87977834 0.70695971 0.89560437 0.65026596 0.75346686]
35,cuda:0,CiteSeer,poisoning,node2vec,nodeembeddingattack,integrity,0.15,outputs,2,datasets,[0.69564874 0.69868279 0.4478595  0.89867842 0.59780222],[0.73563751 0.75670731 0.51232874 0.89688247 0.65213603]
36,cuda:0,Cora,poisoning,gat,viking,availability,0.1,outputs,8,datasets,[0.834424   0.77129948 0.6901893  0.82383156 0.7511121 ],[0.84534483 0.77068967 0.69137931 0.82172132 0.75093633]
37,cuda:0,PubMed,poisoning,gca,viking,availability,0.2,outputs,3,datasets,[0.88359334 0.81735253 0.77413565 0.84737772 0.80910254],[0.88357347 0.8166427  0.77315146 0.84680909 0.80830568]
38,cuda:0,PubMed,poisoning,gat,nodeembeddingattack,availability,0.15,outputs,5,datasets,[0.92662691 0.85177815 0.87062103 0.83900255 0.85451937],[0.92631794 0.84696043 0.86461377 0.83512819 0.84961522]
39,cuda:0,CiteSeer,poisoning,gat,aalp,availability,0.2,outputs,10,datasets,[0.69853918 0.5        1.         0.5        0.66666669],[0.69333044 0.5        1.         0.5        0.66666669]
40,cuda:0,Cora,poisoning,vgnae,pgd,integrity,0.2,outputs,4,datasets,[0.93686513 0.76224273 0.96404922 0.68688911 0.8022043 ],[0.95138249 0.75958702 0.97346938 0.67325335 0.79599499]
41,cuda:0,PubMed,poisoning,gcn,random,integrity,0.1,outputs,2,datasets,[0.91519519 0.83859688 0.85235733 0.82952797 0.84078777],[0.91649799 0.84262186 0.85988265 0.83118868 0.84529227]
42,cuda:0,Cora,poisoning,deepwalk,random,integrity,0.2,outputs,2,datasets,[0.79474452 0.71800333 0.47965941 0.91681737 0.62981367],[0.82067591 0.7357685  0.50664139 0.93520141 0.65723079]
