,dataset,lp_model,attack_method,exp_type,device,seed,attack_rate,attack_goal,run_time,space,cuda
0,CiteSeer,deepwalk,metattack,poisoning,cuda:0,1,0.2,availability,611.81,2517.61,81208
1,CiteSeer,deepwalk,clga,poisoning,cuda:0,1,0.2,integrity,3144.15,2305.11,2866
2,CiteSeer,deepwalk,aalp,poisoning,cuda:0,1,0.15,integrity,30.63,2331.26,2054
3,CiteSeer,deepwalk,minmax,poisoning,cuda:0,1,0.15,availability,37.76,2282.3,1986
4,CiteSeer,deepwalk,dice,poisoning,cuda:0,1,0.15,integrity,7.62,14.18,3
5,CiteSeer,deepwalk,viking,poisoning,cuda:0,1,0.15,integrity,1.88,7.71,3
6,CiteSeer,deepwalk,aalp,poisoning,cuda:0,1,0.1,availability,25.23,2286.07,2440
7,CiteSeer,deepwalk,pgd,poisoning,cuda:0,1,0.1,availability,21.27,2285.01,1942
8,CiteSeer,deepwalk,viking,poisoning,cuda:0,1,0.1,availability,1.88,6.73,3
9,CiteSeer,deepwalk,nodeembeddingattack,poisoning,cuda:0,1,0.15,integrity,12.51,1651.99,1042
10,CiteSeer,deepwalk,nodeembeddingattack,poisoning,cuda:0,1,0.1,availability,13.92,1657.05,1050
11,CiteSeer,deepwalk,minmax,poisoning,cuda:0,1,0.05,integrity,36.19,2323.84,1984
12,CiteSeer,deepwalk,metattack,poisoning,cuda:0,1,0.05,availability,306.8,2291.45,38336
13,CiteSeer,deepwalk,dice,poisoning,cuda:0,1,0.1,availability,5.02,6.62,3
14,CiteSeer,deepwalk,minmax,poisoning,cuda:0,1,0.1,integrity,34.79,2283.77,1984
15,CiteSeer,deepwalk,pgd,poisoning,cuda:0,1,0.15,integrity,21.09,2324.35,1940
16,CiteSeer,deepwalk,nodeembeddingattack,poisoning,cuda:0,1,0.15,availability,15.13,1667.37,1050
17,CiteSeer,deepwalk,nodeembeddingattack,poisoning,cuda:0,1,0.1,integrity,12.74,1644.75,1042
18,CiteSeer,deepwalk,metattack,poisoning,cuda:0,1,0.2,integrity,602.5,2513.73,81208
19,CiteSeer,deepwalk,clga,poisoning,cuda:0,1,0.2,availability,3262.02,2298.52,2866
20,CiteSeer,deepwalk,pgd,poisoning,cuda:0,1,0.15,availability,21.53,2282.06,1942
21,CiteSeer,deepwalk,minmax,poisoning,cuda:0,1,0.15,integrity,35.58,2324.3,1984
22,CiteSeer,deepwalk,dice,poisoning,cuda:0,1,0.15,availability,7.57,6.74,3
23,CiteSeer,deepwalk,aalp,poisoning,cuda:0,1,0.1,integrity,31.3,2328.62,2054
