Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1684477836.204794	0	15	0.02
1684477836.8607628	3	784	0.96
1684477837.5093164	5	1054	1.3
1684477838.1536586	3	1410	1.74
1684477838.8120992	8	1998	2.46
1684477839.444886	31	1998	2.46
1684477840.0778787	42	1998	2.46
1684477840.7101862	48	1998	2.46
1684477841.3418422	32	1998	2.46
1684477841.9778998	46	1998	2.46
1684477842.6145446	33	1998	2.46
1684477843.2490149	49	1998	2.46
1684477843.8884387	42	1998	2.46
1684477844.5207407	46	1998	2.46
1684477845.1520162	30	1998	2.46
1684477845.7870526	49	1998	2.46
1684477846.4185467	37	1998	2.46
1684477847.0518224	48	1998	2.46
1684477847.704514	34	1998	2.46
1684477848.33635	49	1998	2.46
1684477848.9693265	33	1998	2.46
1684477849.6037505	49	1998	2.46
1684477850.2370133	37	1998	2.46
1684477850.8841445	49	1998	2.46
1684477851.5286243	35	1998	2.46
1684477852.1629086	48	1998	2.46
1684477852.8147125	34	1998	2.46
1684477853.4503777	49	1998	2.46
1684477854.0883367	40	1998	2.46
1684477854.7178304	48	1998	2.46
1684477855.3533707	49	1998	2.46
1684477855.9843907	44	1998	2.46
1684477856.6171594	34	1998	2.46
1684477857.2501817	48	1998	2.46
1684477857.9068785	36	1998	2.46
1684477858.537308	50	1998	2.46
1684477859.1728292	50	1998	2.46
1684477859.800968	49	1998	2.46
1684477860.434748	33	1998	2.46
1684477861.0664654	49	1998	2.46
1684477861.7224302	34	1998	2.46
1684477862.3562083	48	1998	2.46
1684477862.9898546	35	1998	2.46
1684477863.6221795	35	1998	2.46
1684477864.2520843	41	1998	2.46
1684477864.8861454	44	1998	2.46
1684477865.5404887	31	1998	2.46
1684477866.1729453	49	1998	2.46
1684477866.8169026	34	1998	2.46
1684477867.4496884	43	1998	2.46
1684477868.1016247	33	1998	2.46
1684477868.7316816	48	1998	2.46
1684477869.3795981	32	1998	2.46
1684477870.0164695	48	1998	2.46
1684477870.654884	42	1998	2.46
1684477871.3051271	49	1998	2.46
1684477871.9342828	33	1998	2.46
1684477872.563936	46	1998	2.46
1684477873.2232502	90	2866	3.53
1684477873.8630369	59	2866	3.53
1684477874.4991944	31	2866	3.53
1684477875.1299603	51	2866	3.53
1684477875.7825692	39	2866	3.53
1684477876.4139736	49	2866	3.53
1684477877.0509953	35	2866	3.53
1684477877.6843655	49	2866	3.53
1684477878.3415885	33	2866	3.53
1684477878.9809554	42	2866	3.53
1684477879.625439	49	2866	3.53
1684477880.2578633	51	2866	3.53
1684477880.9107869	44	2866	3.53
1684477881.545107	49	2866	3.53
1684477882.1769807	49	2866	3.53
1684477882.8079245	34	2866	3.53
1684477883.4395068	48	2866	3.53
1684477884.0904071	35	2866	3.53
1684477884.7425437	46	2866	3.53
1684477885.3744688	49	2866	3.53
1684477886.0042522	50	2866	3.53
1684477886.6372662	35	2866	3.53
1684477887.2839036	49	2866	3.53
1684477887.917911	34	2866	3.53
1684477888.551141	51	2866	3.53
1684477889.183942	35	2866	3.53
1684477889.8152692	49	2866	3.53
