Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1684497991.3620424	0	15	0.02
1684497991.99525	4	542	0.67
1684497992.6251488	2	668	0.82
1684497993.2556987	2	786	0.97
1684497993.9123707	1	902	1.11
1684497994.564539	2	1072	1.32
1684497995.1957867	1	1184	1.46
1684497995.8281636	1	1296	1.6
1684497996.4575205	14	1386	1.71
1684497997.0892024	40	2326	2.86
1684497997.740053	24	4300	5.29
1684497998.3709798	20	6372	7.84
1684497999.004222	100	7004	8.62
1684497999.6395888	96	7328	9.02
1684498000.2872984	100	7328	9.02
1684498000.9196405	91	7424	9.14
1684498001.5512915	96	7424	9.14
1684498002.1830373	100	7564	9.31
1684498002.8138912	96	7564	9.31
1684498003.4429538	100	7656	9.42
1684498004.0724258	95	7792	9.59
1684498004.703139	100	7836	9.64
1684498005.3421764	94	7976	9.82
1684498005.9871855	96	7976	9.82
1684498006.6210525	99	8116	9.99
1684498007.2538402	96	8116	9.99
1684498007.9054384	100	8208	10.1
1684498008.5788665	88	8344	10.27
1684498009.223233	100	8388	10.32
1684498009.8608224	94	8528	10.5
1684498010.5250201	96	8528	10.5
1684498011.172024	100	8668	10.67
1684498011.8129241	96	8668	10.67
1684498012.4514723	100	8760	10.78
1684498013.1648748	94	8804	10.84
1684498013.861811	100	8940	11.0
1684498014.566868	96	9080	11.18
1684498015.2217426	96	9080	11.18
1684498015.8757935	100	9220	11.35
1684498016.5249653	95	9220	11.35
1684498017.1565046	100	9312	11.46
1684498017.8080823	97	9448	11.63
1684498018.4425728	100	9492	11.68
1684498019.1004033	100	9632	11.85
1684498019.7533286	97	9632	11.85
1684498020.3998277	100	9772	12.03
1684498021.055803	93	9772	12.03
1684498021.7424293	100	9864	12.14
1684498022.374614	92	10000	12.31
1684498023.0109117	79	10044	12.36
1684498023.6694024	96	10184	12.53
1684498024.299382	95	10184	12.53
1684498024.960966	100	10324	12.71
1684498025.6193676	96	10324	12.71
1684498026.2481637	100	10416	12.82
1684498026.882519	89	10552	12.99
1684498027.560044	86	10596	13.04
1684498028.193991	96	10736	13.21
1684498028.8494031	96	10736	13.21
1684498029.490939	49	10876	13.39
1684498030.125619	89	10876	13.39
1684498030.7806551	100	10968	13.5
1684498031.423877	96	11012	13.55
1684498032.1557379	100	11104	13.67
1684498032.7885892	88	11288	13.89
1684498033.436496	96	11288	13.89
1684498034.1898015	51	11428	14.07
1684498034.9213285	92	11428	14.07
1684498035.6369636	100	11520	14.18
1684498036.2968068	88	11656	14.35
1684498036.9475543	94	11700	14.4
1684498037.6377027	88	11840	14.57
1684498038.318654	95	11840	14.57
1684498038.9930153	100	11980	14.74
1684498039.6697767	96	11980	14.74
1684498040.344085	100	12072	14.86
1684498040.994362	89	12208	15.03
1684498041.7364247	97	12252	15.08
1684498042.463058	99	12392	15.25
1684498043.1856325	95	12392	15.25
1684498043.889716	100	12532	15.42
1684498044.5875711	86	12624	15.54
1684498045.2393172	92	12668	15.59
1684498045.9383256	100	12760	15.7
1684498046.5804927	88	12804	15.76
1684498047.2949178	100	12944	15.93
1684498048.0182886	96	13084	16.1
1684498048.735569	94	13084	16.1
1684498049.3908443	100	13176	16.22
1684498050.060622	97	13220	16.27
1684498050.7193167	100	13312	16.38
1684498051.351365	95	13496	16.61
1684498052.011816	96	13496	16.61
1684498052.6722188	73	13636	16.78
1684498053.3259933	95	13636	16.78
1684498053.9803333	100	13728	16.9
1684498054.6244519	96	13772	16.95
1684498055.282898	100	13864	17.06
1684498055.9263377	96	14048	17.29
1684498056.5733047	100	14048	17.29
1684498057.227278	91	14188	17.46
1684498057.8741136	95	14188	17.46
1684498058.5032797	100	14280	17.58
1684498059.1680954	95	14324	17.63
1684498059.829002	100	14416	17.74
1684498060.4872484	96	14600	17.97
1684498061.1345716	100	14600	17.97
1684498061.7709973	100	14740	18.14
1684498062.4079502	96	14740	18.14
1684498063.0391223	100	14832	18.25
1684498063.6822312	97	14876	18.31
1684498064.3415184	100	14968	18.42
1684498064.9826608	96	15152	18.65
