Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1684497373.7753603	0	24	0.03
1684497374.4145	1	596	0.73
1684497375.0455127	2	780	0.96
1684497375.7021766	2	936	1.15
1684497376.3339763	2	1130	1.39
1684497376.9885569	1	1316	1.62
1684497377.6194851	32	1386	1.71
1684497378.2772605	25	4400	5.42
1684497378.9184175	14	7004	8.62
1684497379.5601652	95	7136	8.78
1684497380.2013958	49	7328	9.02
1684497380.8518102	95	7328	9.02
1684497381.507672	65	7424	9.14
1684497382.1528373	94	7424	9.14
1684497382.785015	100	7564	9.31
1684497383.4243586	95	7656	9.42
1684497384.0782192	97	7700	9.48
1684497384.7330685	97	7792	9.59
1684497385.382018	79	7836	9.64
1684497386.0272377	100	7976	9.82
1684497386.6665344	93	7976	9.82
1684497387.3190076	100	8116	9.99
1684497387.9497104	95	8208	10.1
1684497388.594908	71	8252	10.16
1684497389.2457657	96	8344	10.27
1684497389.8790667	84	8388	10.32
1684497390.5121806	99	8528	10.5
1684497391.1708167	95	8528	10.5
1684497391.8051574	100	8668	10.67
1684497392.4374316	96	8760	10.78
1684497393.0803368	98	8804	10.84
1684497393.7392974	94	8896	10.95
1684497394.3772373	93	8940	11.0
1684497395.034847	100	9080	11.18
1684497395.685319	96	9080	11.18
1684497396.326552	100	9220	11.35
1684497396.9634714	96	9312	11.46
1684497397.6014595	100	9356	11.51
1684497398.2321398	95	9448	11.63
1684497398.8680108	96	9492	11.68
1684497399.4992187	100	9632	11.85
1684497400.128925	96	9632	11.85
1684497400.7631016	100	9772	12.03
1684497401.3955514	95	9864	12.14
1684497402.026165	100	9908	12.19
1684497402.660147	94	10000	12.31
1684497403.365896	96	10044	12.36
1684497404.0583448	100	10184	12.53
1684497404.74227	95	10184	12.53
1684497405.4016387	100	10324	12.71
1684497406.0731983	83	10416	12.82
1684497406.7581184	97	10460	12.87
1684497407.3964634	100	10552	12.99
1684497408.0857751	96	10596	13.04
1684497408.8005986	100	10736	13.21
1684497409.4983296	96	10876	13.39
1684497410.1654763	96	10876	13.39
1684497410.8249228	99	10968	13.5
1684497411.4668179	92	11012	13.55
1684497412.1025872	100	11104	13.67
1684497412.782636	95	11288	13.89
1684497413.4435418	100	11288	13.89
1684497414.0970786	100	11428	14.07
1684497414.7605314	96	11428	14.07
1684497415.4495091	100	11520	14.18
1684497416.1566534	92	11656	14.35
1684497416.799544	66	11700	14.4
1684497417.4552386	98	11840	14.57
1684497418.1150222	94	11840	14.57
1684497418.749194	100	11980	14.74
1684497419.4026372	95	12072	14.86
1684497420.0410473	95	12116	14.91
1684497420.695174	97	12208	15.03
1684497421.3452058	60	12252	15.08
1684497422.000697	52	12392	15.25
1684497422.6392536	96	12392	15.25
1684497423.272907	100	12532	15.42
1684497423.926817	96	12624	15.54
1684497424.581991	100	12668	15.59
1684497425.2375028	95	12760	15.7
1684497425.881421	68	12804	15.76
1684497426.5141513	100	12944	15.93
1684497427.1477613	96	12944	15.93
1684497427.8278587	100	13084	16.1
1684497428.4845588	94	13176	16.22
1684497429.1392334	100	13220	16.27
1684497429.7896578	97	13312	16.38
1684497430.4429903	82	13356	16.44
1684497431.1001887	100	13496	16.61
1684497431.747262	96	13496	16.61
1684497432.4081848	100	13636	16.78
1684497433.042205	89	13728	16.9
1684497433.6932251	53	13772	16.95
1684497434.3429801	93	13864	17.06
1684497434.988573	95	13908	17.12
1684497435.6303275	87	14048	17.29
1684497436.2609704	96	14048	17.29
