Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1685678687.3314655	0	3	0.0
1685678687.9805071	3	648	0.8
1685678688.6205854	6	926	1.14
1685678689.2683496	5	1320	1.62
1685678689.9232316	2	1536	1.89
1685678690.5789266	43	2440	3.0
1685678691.2347937	56	2440	3.0
1685678692.0450692	56	2440	3.0
1685678692.705864	56	2440	3.0
1685678693.3936899	55	2440	3.0
1685678694.1832874	54	2440	3.0
1685678694.8572059	55	2440	3.0
1685678695.5645704	55	2440	3.0
1685678696.3815162	56	2440	3.0
1685678697.0552604	56	2440	3.0
1685678697.722639	56	2440	3.0
1685678698.4352577	55	2440	3.0
1685678699.0999427	53	2440	3.0
1685678699.794262	54	2440	3.0
1685678700.4569652	56	2440	3.0
1685678701.122422	37	2440	3.0
1685678701.8008678	54	2440	3.0
1685678702.4727063	56	2440	3.0
1685678703.1281712	55	2440	3.0
1685678703.7921305	54	2440	3.0
1685678704.4436696	55	2440	3.0
1685678705.119308	55	2440	3.0
1685678705.7882736	55	2440	3.0
1685678706.4525812	55	2440	3.0
1685678707.116387	54	2440	3.0
1685678707.7619364	55	2440	3.0
1685678708.4163635	56	2440	3.0
1685678709.0561633	56	2440	3.0
1685678709.7242942	56	2440	3.0
1685678710.3820589	54	2440	3.0
1685678711.0454242	56	2440	3.0
1685678711.6841834	0	2440	3.0
1685678712.3278706	0	2440	3.0
