Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1685678447.2233183	0	3	0.0
1685678447.8681946	4	724	0.89
1685678448.4983995	2	890	1.1
1685678449.1410532	5	1234	1.52
1685678449.7840695	3	1650	2.03
1685678450.4218721	70	2054	2.53
1685678451.0758245	70	2054	2.53
1685678451.7157595	70	2054	2.53
1685678452.42873	69	2054	2.53
1685678453.0950396	59	2054	2.53
1685678453.7339356	63	2054	2.53
1685678454.3711667	63	2054	2.53
1685678455.0091105	62	2054	2.53
1685678455.6476064	70	2054	2.53
1685678456.2969408	70	2054	2.53
1685678456.9364552	66	2054	2.53
1685678457.569008	70	2054	2.53
1685678458.2024844	66	2054	2.53
1685678458.8738399	63	2054	2.53
1685678459.5110433	63	2054	2.53
1685678460.151229	64	2054	2.53
1685678460.7855082	63	2054	2.53
1685678461.4205258	69	2054	2.53
1685678462.075522	63	2054	2.53
1685678462.73414	58	2054	2.53
1685678463.4258637	63	2054	2.53
1685678464.0781393	64	2054	2.53
1685678464.7466252	49	2054	2.53
1685678465.3941572	63	2054	2.53
1685678466.0514076	63	2054	2.53
1685678466.7003057	63	2054	2.53
1685678467.335335	65	2054	2.53
1685678467.971858	57	2054	2.53
1685678468.624276	62	2054	2.53
1685678469.263947	64	2054	2.53
1685678470.0754757	69	2054	2.53
1685678470.7104096	63	2054	2.53
1685678471.370557	63	2054	2.53
1685678472.0193148	62	2054	2.53
1685678472.667049	69	2054	2.53
1685678473.313266	64	2054	2.53
1685678473.959633	70	2054	2.53
1685678474.6034548	71	2054	2.53
1685678475.2623117	67	2054	2.53
1685678475.9098675	62	2054	2.53
1685678476.6117222	66	2054	2.53
1685678477.2546213	0	2054	2.53
1685678477.911176	0	2054	2.53
