Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1684478640.7738407	0	3	0.0
1684478641.4332771	3	768	0.95
1684478642.0911145	5	1036	1.28
1684478642.7283783	3	1380	1.7
1684478643.3621085	27	1998	2.46
1684478643.9957483	34	1998	2.46
1684478644.627184	45	1998	2.46
1684478645.262702	33	1998	2.46
1684478645.8957512	50	1998	2.46
1684478646.5309808	33	1998	2.46
1684478647.1609526	49	1998	2.46
1684478647.7917333	42	1998	2.46
1684478648.4263856	46	1998	2.46
1684478649.0615172	28	1998	2.46
1684478649.6980844	41	1998	2.46
1684478650.333609	43	1998	2.46
1684478650.9662023	42	1998	2.46
1684478651.6000342	49	1998	2.46
1684478652.2493968	34	1998	2.46
1684478652.8798168	42	1998	2.46
1684478653.537774	35	1998	2.46
1684478654.1876493	30	1998	2.46
1684478654.8220673	48	1998	2.46
1684478655.4534557	43	1998	2.46
1684478656.1042905	49	1998	2.46
1684478656.7394588	31	1998	2.46
1684478657.3959522	41	1998	2.46
1684478658.0312278	42	1998	2.46
1684478658.6717947	48	1998	2.46
1684478659.3017027	27	1998	2.46
1684478659.9336326	34	1998	2.46
1684478660.5665236	46	1998	2.46
1684478661.199352	30	1998	2.46
1684478661.8339193	48	1998	2.46
1684478662.4749138	41	1998	2.46
1684478663.1252484	49	1998	2.46
1684478663.7554095	36	1998	2.46
1684478664.382493	20	1998	2.46
1684478665.016176	49	1998	2.46
1684478665.6499636	34	1998	2.46
1684478666.305103	49	1998	2.46
1684478666.9416006	42	1998	2.46
1684478667.572914	42	1998	2.46
1684478668.2050908	37	1998	2.46
1684478668.8415678	45	1998	2.46
1684478669.4757237	31	1998	2.46
1684478670.127546	50	1998	2.46
1684478670.7806745	50	1998	2.46
1684478671.4112139	34	1998	2.46
1684478672.0516658	46	1998	2.46
1684478672.683442	42	1998	2.46
1684478673.3151984	33	1998	2.46
1684478673.9480317	44	1998	2.46
1684478674.5991156	48	1998	2.46
1684478675.238735	34	1998	2.46
1684478675.8734505	45	1998	2.46
1684478676.5277727	47	1998	2.46
1684478677.1632955	34	1998	2.46
1684478677.7948606	50	1998	2.46
1684478678.4378967	91	2866	3.53
1684478679.0674272	34	2866	3.53
1684478679.6987672	50	2866	3.53
1684478680.3325422	42	2866	3.53
1684478680.9680512	48	2866	3.53
1684478681.6028051	49	2866	3.53
1684478682.2341757	38	2866	3.53
1684478682.8695796	35	2866	3.53
1684478683.5024297	48	2866	3.53
1684478684.1319206	36	2866	3.53
1684478684.7679787	52	2866	3.53
1684478685.400174	49	2866	3.53
1684478686.0334442	51	2866	3.53
1684478686.6686983	44	2866	3.53
1684478687.3020356	50	2866	3.53
1684478687.95858	34	2866	3.53
1684478688.5915384	51	2866	3.53
1684478689.2256398	32	2866	3.53
1684478689.8849854	50	2866	3.53
1684478690.523017	33	2866	3.53
1684478691.1562762	51	2866	3.53
1684478691.7884216	35	2866	3.53
1684478692.4246912	49	2866	3.53
1684478693.0600204	35	2866	3.53
1684478693.7310529	35	2866	3.53
1684478694.3601818	49	2866	3.53
1684478695.0137856	34	2866	3.53
1684478695.6443245	42	2866	3.53
1684478696.2766297	43	2866	3.53
1684478696.9109037	34	2866	3.53
1684478697.5436049	50	2866	3.53
1684478698.171849	52	2866	3.53
1684478698.8030374	34	2866	3.53
1684478699.432488	50	2866	3.53
1684478700.0662065	34	2866	3.53
1684478700.7018754	51	2866	3.53
1684478701.342037	34	2866	3.53
1684478701.97935	41	2866	3.53
1684478702.6119819	35	2866	3.53
1684478703.2448022	41	2866	3.53
1684478703.8846402	34	2866	3.53
1684478704.5183072	47	2866	3.53
1684478705.1560147	31	2866	3.53
1684478705.7915561	50	2866	3.53
1684478706.422929	51	2866	3.53
1684478707.0775647	35	2866	3.53
1684478707.7096052	52	2866	3.53
1684478708.3446062	35	2866	3.53
1684478708.9777417	48	2866	3.53
1684478709.6091402	30	2866	3.53
1684478710.243256	35	2866	3.53
1684478710.8781211	36	2866	3.53
1684478711.5102646	51	2866	3.53
1684478712.1538782	34	2866	3.53
1684478712.8186853	92	2866	3.53
1684478713.4542031	34	2866	3.53
1684478714.0894153	35	2866	3.53
1684478714.7273524	48	2866	3.53
1684478715.363727	35	2866	3.53
1684478715.996511	35	2866	3.53
1684478716.6474113	41	2866	3.53
1684478717.281195	33	2866	3.53
1684478717.9251518	41	2866	3.53
1684478718.5564263	47	2866	3.53
1684478719.1892703	34	2866	3.53
1684478719.8358474	51	2866	3.53
1684478720.4742978	29	2866	3.53
1684478721.135996	35	2866	3.53
1684478721.7705455	42	2866	3.53
1684478722.4027119	52	2866	3.53
1684478723.0365217	39	2866	3.53
1684478723.6684942	49	2866	3.53
1684478724.3241162	31	2866	3.53
1684478724.9600575	39	2866	3.53
1684478725.5921872	35	2866	3.53
1684478726.221205	47	2866	3.53
1684478726.8693957	35	2866	3.53
1684478727.5151858	46	2866	3.53
1684478728.150103	34	2866	3.53
1684478728.795109	49	2866	3.53
1684478729.4302957	43	2866	3.53
1684478730.0621996	51	2866	3.53
1684478730.6952121	34	2866	3.53
1684478731.3277743	51	2866	3.53
1684478731.9670699	35	2866	3.53
1684478732.6019697	49	2866	3.53
1684478733.2357674	50	2866	3.53
1684478733.8670478	36	2866	3.53
1684478734.4969842	49	2866	3.53
1684478735.1524916	42	2866	3.53
1684478735.7880802	52	2866	3.53
1684478736.4210877	49	2866	3.53
1684478737.056174	49	2866	3.53
1684478737.6805782	35	2866	3.53
1684478738.313153	49	2866	3.53
1684478738.9487557	33	2866	3.53
1684478739.5819497	52	2866	3.53
1684478740.2393415	33	2866	3.53
1684478740.872381	50	2866	3.53
1684478741.511389	42	2866	3.53
1684478742.1462545	43	2866	3.53
1684478742.7789743	34	2866	3.53
1684478743.4120522	49	2866	3.53
1684478744.0469427	35	2866	3.53
1684478744.6880307	50	2866	3.53
1684478745.3409548	46	2866	3.53
1684478745.9807982	33	2866	3.53
1684478746.6280346	66	2866	3.53
1684478747.2777593	90	2866	3.53
1684478747.9082744	49	2866	3.53
1684478748.5614033	35	2866	3.53
1684478749.214357	50	2866	3.53
1684478749.858172	34	2866	3.53
1684478750.4939992	50	2866	3.53
1684478751.1333897	34	2866	3.53
1684478751.7814887	35	2866	3.53
1684478752.4142425	43	2866	3.53
1684478753.044415	39	2866	3.53
1684478753.6752555	35	2866	3.53
1684478754.3030605	49	2866	3.53
1684478754.9369664	35	2866	3.53
1684478755.569953	50	2866	3.53
1684478756.200744	35	2866	3.53
1684478756.831597	35	2866	3.53
1684478757.4839137	49	2866	3.53
1684478758.1180468	35	2866	3.53
1684478758.753497	49	2866	3.53
1684478759.3862324	41	2866	3.53
1684478760.0169559	34	2866	3.53
1684478760.6512644	35	2866	3.53
1684478761.283859	49	2866	3.53
1684478761.9175982	35	2866	3.53
1684478762.5472665	51	2866	3.53
1684478763.1797476	35	2866	3.53
1684478763.8108017	49	2866	3.53
1684478764.446397	34	2866	3.53
1684478765.0778253	43	2866	3.53
1684478765.708274	43	2866	3.53
1684478766.3390102	33	2866	3.53
1684478766.9713564	29	2866	3.53
1684478767.6341588	48	2866	3.53
1684478768.2663836	34	2866	3.53
1684478768.8975694	51	2866	3.53
