Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1684490917.488357	0	24	0.03
1684490918.1353214	2	672	0.83
1684490918.7760305	1	814	1.0
1684490919.4352436	3	956	1.18
1684490920.0808055	2	1210	1.49
1684490920.736184	1	1380	1.7
1684490921.3712623	29	1998	2.46
1684490922.033288	42	1998	2.46
1684490922.6658478	32	1998	2.46
1684490923.298205	49	1998	2.46
1684490923.9341547	33	1998	2.46
1684490924.5644124	34	1998	2.46
1684490925.2039802	48	1998	2.46
1684490925.8381727	47	1998	2.46
1684490926.4700506	34	1998	2.46
1684490927.1089451	47	1998	2.46
1684490927.7402859	28	1998	2.46
1684490928.371559	49	1998	2.46
1684490929.0036662	35	1998	2.46
1684490929.6331475	35	1998	2.46
1684490930.2683592	36	1998	2.46
1684490930.92022	50	1998	2.46
1684490931.5594437	34	1998	2.46
1684490932.194511	50	1998	2.46
1684490932.8270144	33	1998	2.46
1684490933.4604692	50	1998	2.46
1684490934.0910432	34	1998	2.46
1684490934.7233033	44	1998	2.46
1684490935.3494506	34	1998	2.46
1684490935.9806693	48	1998	2.46
1684490936.6202397	31	1998	2.46
1684490937.251386	45	1998	2.46
1684490937.8868163	47	1998	2.46
1684490938.523007	48	1998	2.46
1684490939.1581647	48	1998	2.46
1684490939.7923098	48	1998	2.46
1684490940.4277086	32	1998	2.46
1684490941.0635514	46	1998	2.46
1684490941.707809	48	1998	2.46
1684490942.355846	48	1998	2.46
1684490942.9896798	49	1998	2.46
1684490943.6325228	41	1998	2.46
1684490944.2661827	32	1998	2.46
1684490944.8986292	48	1998	2.46
1684490945.5266073	41	1998	2.46
1684490946.1645005	50	1998	2.46
1684490946.8014116	48	1998	2.46
1684490947.4508905	34	1998	2.46
1684490948.0813756	49	1998	2.46
1684490948.712313	34	1998	2.46
1684490949.3453162	34	1998	2.46
1684490949.9801261	46	1998	2.46
1684490950.6156352	48	1998	2.46
1684490951.248863	40	1998	2.46
