Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1685105278.1900067	0	3	0.0
1685105278.8381805	4	710	0.87
1685105279.491319	2	948	1.17
1685105280.14581	3	1262	1.55
1685105280.8020308	32	1386	1.71
1685105281.4482	81	5140	6.33
1685105282.0921571	92	7004	8.62
1685105282.7264895	96	7136	8.78
1685105283.3762896	100	7328	9.02
1685105284.025504	95	7424	9.14
1685105284.6655781	98	7424	9.14
1685105285.302185	95	7564	9.31
1685105285.9533055	96	7564	9.31
1685105286.587135	100	7656	9.42
1685105287.2210135	95	7792	9.59
1685105287.8587165	100	7836	9.64
1685105288.4985964	95	7976	9.82
1685105289.1328814	96	7976	9.82
1685105289.766221	100	8116	9.99
1685105290.419354	96	8116	9.99
1685105291.0744264	100	8208	10.1
1685105291.7158716	96	8344	10.27
1685105292.3602252	100	8388	10.32
1685105293.019725	100	8528	10.5
1685105293.677425	96	8528	10.5
1685105294.3339555	100	8668	10.67
1685105294.9937854	96	8760	10.78
1685105295.6296947	96	8804	10.84
1685105296.2571838	95	8896	10.95
1685105296.9037662	90	8940	11.0
1685105297.5624948	100	9080	11.18
1685105298.2014964	96	9080	11.18
1685105298.8597243	100	9220	11.35
1685105299.5041127	94	9312	11.46
1685105300.1600206	96	9356	11.51
1685105300.8048244	98	9448	11.63
1685105301.4438426	93	9492	11.68
1685105302.0905762	100	9632	11.85
1685105302.7310998	94	9772	12.03
1685105303.3795028	97	9772	12.03
1685105304.023997	92	9864	12.14
1685105304.6784904	96	9908	12.19
1685105305.3210902	100	10000	12.31
1685105305.9731865	95	10184	12.53
1685105306.626033	100	10184	12.53
1685105307.2825422	95	10324	12.71
1685105307.9380822	96	10324	12.71
1685105308.578339	100	10416	12.82
1685105309.236616	96	10552	12.99
1685105309.888028	100	10596	13.04
1685105310.5457766	100	10736	13.21
1685105311.2018425	96	10736	13.21
1685105311.8433943	100	10876	13.39
1685105312.4836626	96	10876	13.39
1685105313.1399906	100	10968	13.5
1685105313.7814894	95	11104	13.67
1685105314.4310973	97	11148	13.72
1685105315.076726	95	11288	13.89
1685105315.7216213	94	11288	13.89
1685105316.3769917	100	11428	14.07
1685105317.0304656	96	11428	14.07
1685105317.68614	100	11520	14.18
1685105318.34058	87	11564	14.23
1685105318.9971826	100	11656	14.35
1685105319.6361527	95	11840	14.57
1685105320.2884328	97	11840	14.57
1685105320.9346154	97	11980	14.74
1685105321.5904858	95	11980	14.74
1685105322.2268467	100	12072	14.86
1685105322.8742445	89	12116	14.91
1685105323.5326834	100	12208	15.03
1685105324.1763728	96	12392	15.25
1685105324.8103094	100	12392	15.25
1685105325.457686	94	13079	16.1
1685105326.098663	91	13281	16.35
1685105326.7485943	99	13541	16.67
1685105327.4020529	94	13805	16.99
1685105328.0851674	100	14065	17.31
1685105328.7452097	94	14269	17.56
1685105329.4311945	100	15411	18.97
1685105330.0648928	99	15411	18.97
1685105330.7007005	97	15551	19.14
1685105331.3342872	100	15555	19.14
1685105331.961334	98	15555	19.14
1685105332.5889688	95	15647	19.26
1685105333.2640204	100	15647	19.26
1685105333.899185	98	15691	19.31
1685105334.5600471	100	15817	19.47
1685105335.1920202	100	15817	19.47
1685105335.845058	97	15861	19.52
1685105336.4793768	99	16035	19.74
1685105337.1294127	100	16035	19.74
1685105337.7622957	95	16035	19.74
1685105338.394287	100	16175	19.91
1685105339.0431778	100	16175	19.91
1685105339.6771133	95	16175	19.91
1685105340.3124304	100	16267	20.02
1685105340.9579277	100	16311	20.07
1685105341.6125042	99	16311	20.07
1685105342.24075	100	16403	20.19
1685105342.8744657	96	16447	20.24
1685105343.506847	98	16447	20.24
1685105344.1407814	100	16587	20.41
1685105344.77529	96	16587	20.41
1685105345.4108756	99	16587	20.41
1685105346.042901	100	16727	20.59
1685105346.6775486	98	16727	20.59
1685105347.3053539	96	16727	20.59
1685105347.9370446	100	16819	20.7
1685105348.5724003	98	16863	20.75
1685105349.210914	99	16863	20.75
1685105349.8489895	100	16955	20.87
1685105350.4821951	96	16999	20.92
1685105351.1302872	100	16999	20.92
1685105351.7671084	100	17139	21.09
1685105352.4159393	100	17139	21.09
1685105353.072819	96	17139	21.09
1685105353.7103276	100	17279	21.27
1685105354.3417463	94	17279	21.27
1685105355.0003622	96	17279	21.27
1685105355.6491666	100	17371	21.38
1685105356.2860029	100	17415	21.43
1685105356.921125	99	17415	21.43
1685105357.5525627	100	17507	21.55
1685105358.1978426	96	17551	21.6
1685105358.8329258	99	17551	21.6
1685105359.465045	100	17691	21.77
1685105360.10618	100	17691	21.77
1685105360.7597666	94	17691	21.77
1685105361.3934827	100	17831	21.95
1685105362.0240133	96	17831	21.95
1685105362.654546	99	17831	21.95
1685105363.2950737	100	17923	22.06
1685105363.933975	100	17967	22.11
1685105364.5700045	97	17967	22.11
1685105365.1995351	100	18059	22.23
1685105365.8267066	97	18103	22.28
1685105366.4558501	98	18103	22.28
1685105367.0884516	100	18243	22.45
1685105367.7361348	100	18243	22.45
1685105368.3689914	99	18243	22.45
1685105369.0031872	98	18383	22.62
1685105369.658088	100	18383	22.62
1685105370.292845	99	18383	22.62
1685105370.9257765	98	18475	22.74
1685105371.5875258	100	18475	22.74
1685105372.2390015	98	18519	22.79
1685105372.8735888	100	18611	22.91
1685105373.529969	100	18655	22.96
1685105374.16649	96	18655	22.96
1685105374.821923	100	18795	23.13
1685105375.469089	100	18795	23.13
1685105376.099691	98	18795	23.13
1685105376.734042	100	18971	23.35
1685105377.3644726	100	18971	23.35
1685105377.99805	98	18971	23.35
1685105378.6321938	100	19063	23.46
1685105379.2836444	100	19107	23.52
1685105379.916541	99	19107	23.52
1685105380.5482316	100	19199	23.63
1685105381.197024	100	19243	23.68
1685105381.8290925	98	19243	23.68
1685105382.4706936	100	19383	23.86
1685105383.1066113	95	19523	24.03
1685105383.7542686	95	19523	24.03
1685105384.3867235	98	19615	24.14
1685105385.0175743	100	19659	24.2
1685105385.6747246	97	19659	24.2
1685105386.3202941	100	19751	24.31
1685105386.9630313	99	19795	24.36
1685105387.5950708	100	19935	24.54
1685105388.2508256	97	19935	24.54
1685105388.9069953	97	20075	24.71
1685105389.5621452	100	20075	24.71
1685105390.2158828	98	20075	24.71
1685105390.8768053	100	20167	24.82
1685105391.5262249	99	20211	24.87
1685105392.18197	98	20303	24.99
1685105392.8230953	98	20347	25.04
1685105393.4800866	98	20487	25.21
1685105394.1210372	100	20487	25.21
1685105394.7852197	97	20487	25.21
1685105395.43765	100	20627	25.39
1685105396.092344	98	20627	25.39
1685105396.7493067	100	20719	25.5
1685105397.3968399	98	20763	25.55
1685105398.0453784	94	20855	25.67
1685105398.7046342	96	18324	22.55
1685105399.3490615	100	18464	22.72
1685105400.004636	96	18464	22.72
1685105400.6623242	100	18604	22.9
1685105401.3192756	97	18696	23.01
1685105401.9649224	95	18740	23.06
1685105402.6204588	100	18832	23.18
1685105403.2594872	96	18876	23.23
1685105403.913394	100	19016	23.4
1685105404.5577962	94	19156	23.58
1685105405.2181597	96	19156	23.58
1685105405.8569534	98	19248	23.69
1685105406.5130022	95	19292	23.74
1685105407.161473	100	19384	23.86
1685105407.8224325	95	19568	24.08
1685105408.4805455	100	19568	24.08
1685105409.135488	96	19708	24.26
1685105409.7711272	96	19708	24.26
1685105410.4058554	100	19800	24.37
1685105411.0353916	94	19844	24.42
1685105411.666302	100	19936	24.54
1685105412.315688	96	20120	24.76
1685105412.9700646	100	20120	24.76
1685105413.6128109	100	20260	24.94
1685105414.2659457	96	20260	24.94
1685105414.9236314	100	20352	25.05
1685105415.582945	96	20488	25.22
1685105416.2390916	96	20532	25.27
1685105416.8859477	98	20672	25.44
1685105417.5390358	94	20672	25.44
1685105418.1885054	100	20812	25.61
1685105418.8420775	94	20904	25.73
1685105419.499703	97	20948	25.78
1685105420.137602	97	21040	25.9
1685105420.7698727	94	21084	25.95
1685105421.4245276	100	21224	26.12
1685105422.053279	96	21224	26.12
1685105422.6935978	100	21364	26.29
1685105423.33669	95	21456	26.41
1685105423.9774065	96	21500	26.46
1685105424.6259336	98	21592	26.57
1685105425.3191993	96	21636	26.63
1685105425.9846416	100	21776	26.8
1685105426.64463	95	21916	26.97
1685105427.293535	96	21916	26.97
1685105427.948181	100	22008	27.09
1685105428.6036062	96	22052	27.14
1685105429.2638059	100	22144	27.25
1685105429.955029	87	22328	27.48
1685105430.6406798	96	22328	27.48
1685105431.3018396	97	22468	27.65
1685105431.958265	93	22468	27.65
1685105432.6029541	100	22560	27.77
1685105433.2919533	95	22696	27.93
1685105433.947665	94	22740	27.99
1685105434.605943	100	22880	28.16
1685105435.2653327	96	22880	28.16
1685105435.924091	100	23020	28.33
1685105436.567969	96	23112	28.45
1685105437.2221787	94	23156	28.5
1685105437.879203	99	23248	28.61
1685105438.5318763	96	23292	28.67
1685105439.189418	100	23432	28.84
1685105439.844447	95	23572	29.01
1685105440.4868863	96	23572	29.01
1685105441.1299896	98	23664	29.12
1685105441.7651896	94	23708	29.18
1685105442.4051232	100	23800	29.29
1685105443.0592551	93	23984	29.52
1685105443.7158315	97	23984	29.52
1685105444.3736305	97	24124	29.69
1685105445.024964	95	24124	29.69
1685105445.6824307	100	24216	29.8
1685105446.3363109	96	24352	29.97
1685105446.9856906	100	24396	30.03
1685105447.6443055	96	24536	30.2
1685105448.2978272	96	24536	30.2
1685105448.9515374	100	24676	30.37
1685105449.6086636	96	24768	30.48
1685105450.2534816	100	24812	30.54
1685105450.892573	100	24904	30.65
1685105451.5279486	96	24948	30.7
1685105452.2137022	100	25088	30.88
1685105452.8652442	95	25228	31.05
1685105453.5117977	95	25228	31.05
1685105454.1682904	98	25320	31.16
1685105454.8059173	95	25364	31.22
1685105455.4418936	100	25456	31.33
1685105456.0969026	96	25500	31.38
1685105456.7318058	100	25640	31.56
1685105457.3780982	92	26251	32.31
1685105458.0304782	98	26481	32.59
1685105458.6639683	97	26767	32.94
1685105459.303469	98	26951	33.17
1685105459.9401917	98	27295	33.59
1685105460.573402	97	27465	33.8
1685105461.2154171	100	28333	34.87
1685105461.8637767	100	28659	35.27
1685105462.5011947	100	28659	35.27
1685105463.1375508	99	28803	35.45
1685105463.7730882	100	28803	35.45
1685105464.404893	99	28803	35.45
1685105465.036465	100	28837	35.49
1685105465.6869059	100	28929	35.6
1685105466.34622	100	28973	35.66
1685105466.9963021	100	29007	35.7
1685105467.6372824	100	29099	35.81
1685105468.2736735	100	29099	35.81
1685105468.9071329	99	29143	35.87
1685105469.5406713	100	29143	35.87
1685105470.195727	100	29283	36.04
1685105470.8536026	100	29283	36.04
1685105471.4880216	99	29283	36.04
1685105472.1369731	99	29423	36.21
1685105472.7789197	100	29423	36.21
1685105473.4398723	99	29423	36.21
1685105474.0756083	99	29423	36.21
1685105474.71154	100	29515	36.33
1685105475.351213	100	29515	36.33
1685105475.989592	99	29559	36.38
1685105476.6260505	100	29559	36.38
1685105477.2605472	100	29651	36.49
1685105477.9069328	100	29695	36.55
1685105478.5385919	99	29695	36.55
1685105479.1706288	98	29835	36.72
1685105479.824431	100	29835	36.72
1685105480.4587286	100	29835	36.72
1685105481.0936427	98	29835	36.72
1685105481.7343323	99	29975	36.89
1685105482.3752706	100	29975	36.89
1685105483.0110295	100	29975	36.89
1685105483.646618	97	29975	36.89
1685105484.3043988	100	30067	37.01
1685105484.9837556	100	30067	37.01
1685105485.6181734	99	30111	37.06
1685105486.2595134	98	30111	37.06
1685105486.9174073	100	30203	37.17
1685105487.577393	100	30247	37.23
1685105488.2176704	99	30247	37.23
1685105488.8523893	99	30387	37.4
1685105489.4858	100	30387	37.4
1685105490.1445866	100	30387	37.4
1685105490.8034472	99	30387	37.4
1685105491.4467196	100	30527	37.57
1685105492.1268027	100	30527	37.57
1685105492.7845945	99	30527	37.57
1685105493.4494345	98	30527	37.57
1685105494.0844786	100	30619	37.68
1685105494.7251542	100	30663	37.74
1685105495.3608189	98	30663	37.74
1685105496.0197287	98	30755	37.85
1685105496.6631021	100	30755	37.85
1685105497.3023403	100	30799	37.91
1685105497.937164	98	30799	37.91
1685105498.5710616	100	30975	38.12
1685105499.2126148	100	30975	38.12
1685105499.8524394	99	30975	38.12
1685105500.5058117	99	30975	38.12
1685105501.151489	100	31115	38.29
1685105501.8035152	100	31115	38.29
1685105502.4528806	99	31115	38.29
1685105503.1099763	100	31207	38.41
1685105503.746405	96	31251	38.46
1685105504.3862758	100	31343	38.58
1685105505.0247953	96	31387	38.63
1685105505.6666248	100	31527	38.8
1685105506.3068883	97	31527	38.8
1685105506.950125	96	31667	38.97
1685105507.5865424	98	31667	38.97
1685105508.2409775	98	31667	38.97
1685105508.8825035	100	31759	39.09
1685105509.5209482	99	31803	39.14
1685105510.1751513	97	31895	39.25
1685105510.8158145	98	31939	39.31
1685105511.4584715	97	32079	39.48
1685105512.1199834	100	32079	39.48
1685105512.7685795	99	32079	39.48
1685105513.4158816	100	32219	39.65
1685105514.0548809	99	32219	39.65
1685105514.6929786	98	32311	39.77
1685105515.3426902	97	32355	39.82
1685105515.9819348	98	32447	39.93
1685105516.6164005	100	32447	39.93
1685105517.248189	98	32491	39.99
1685105517.888037	100	32631	40.16
1685105518.5203338	98	32631	40.16
1685105519.193827	100	30196	37.16
1685105519.8471537	96	30196	37.16
1685105520.5040174	100	30288	37.28
1685105521.1584394	95	30424	37.44
1685105521.8154793	100	30468	37.5
1685105522.478127	95	30608	37.67
1685105523.1178715	96	30608	37.67
1685105523.7712128	100	30748	37.84
1685105524.4699779	96	30840	37.96
1685105525.13999	95	30884	38.01
1685105525.7960327	100	30976	38.12
1685105526.5020974	96	31020	38.18
1685105527.190221	100	31160	38.35
1685105527.8627665	95	31300	38.52
1685105528.5217166	96	31300	38.52
1685105529.1904085	100	31392	38.64
1685105529.8540843	95	31436	38.69
1685105530.5450914	100	31572	38.86
1685105531.247242	97	31712	39.03
1685105531.9301856	94	31712	39.03
1685105532.59086	100	31852	39.2
1685105533.2469418	95	31944	39.32
1685105533.9380589	100	31988	39.37
1685105534.599264	100	32080	39.48
1685105535.2579713	96	32124	39.54
1685105535.917756	100	32264	39.71
1685105536.5684986	96	32404	39.88
1685105537.2204363	94	32404	39.88
1685105537.8768203	100	32496	39.99
1685105538.5365524	96	32540	40.05
1685105539.1800432	100	32632	40.16
1685105539.8354914	95	32816	40.39
1685105540.4733741	96	32816	40.39
1685105541.112833	98	32956	40.56
1685105541.751169	92	32956	40.56
1685105542.4015868	100	33048	40.67
1685105543.0649526	96	33136	40.78
1685105543.7275505	97	33228	40.9
1685105544.3697639	94	33368	41.07
1685105545.003263	95	33368	41.07
1685105545.636843	100	33508	41.24
1685105546.2824378	96	33508	41.24
1685105546.9254653	100	33600	41.35
1685105547.57675	95	33736	41.52
1685105548.2209594	100	33780	41.57
1685105548.880069	96	33920	41.75
1685105549.5311728	96	33920	41.75
1685105550.1831646	100	34060	41.92
1685105550.8241706	95	34152	42.03
1685105551.4656005	100	34196	42.09
1685105552.0989046	93	34288	42.2
1685105552.7308562	96	34332	42.25
1685105553.3888712	100	34472	42.43
1685105554.044244	95	34472	42.43
1685105554.6999407	100	34612	42.6
1685105555.3587966	95	34704	42.71
1685105555.997371	94	34748	42.77
1685105556.6510017	100	34840	42.88
1685105557.306357	94	34884	42.93
1685105557.96395	100	35024	43.11
1685105558.6177151	96	35164	43.28
1685105559.256299	95	35164	43.28
1685105559.88886	98	35256	43.39
1685105560.5232089	96	35300	43.45
1685105561.1566107	100	35392	43.56
1685105561.7901735	95	35436	43.61
1685105562.464453	100	35576	43.79
1685105563.1200562	95	35716	43.96
1685105563.7619758	96	35716	43.96
1685105564.3975132	98	35808	44.07
1685105565.0313869	94	35852	44.12
1685105565.6920857	100	35944	44.24
1685105566.3255663	94	36128	44.46
1685105566.9610093	100	36128	44.46
1685105567.620208	96	36268	44.64
1685105568.2770827	95	36268	44.64
1685105568.933877	100	36360	44.75
1685105569.5686452	95	36404	44.8
1685105570.225719	100	36496	44.92
1685105570.8715446	94	36680	45.14
1685105571.5113046	96	36680	45.14
1685105572.1468196	97	36820	45.32
1685105572.7994895	94	36820	45.32
1685105573.4348493	100	36912	45.43
1685105574.070155	95	36956	45.48
1685105574.728011	100	37048	45.6
1685105575.3822663	92	37232	45.82
1685105576.0186427	99	37232	45.82
1685105576.6583736	96	37372	46.0
1685105577.2937942	95	37372	46.0
1685105577.9304464	100	37464	46.11
1685105578.5686154	96	37508	46.16
1685105579.223201	100	37600	46.28
1685105579.8620205	95	37784	46.5
1685105580.5181537	100	37784	46.5
1685105581.1557264	95	37924	46.68
1685105581.7884762	94	37924	46.68
1685105582.4264607	100	38016	46.79
1685105583.080814	92	38060	46.84
1685105583.7258832	100	38152	46.96
1685105584.3661895	96	38336	47.18
