Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1684489520.3746095	0	3	0.0
1684489521.0296009	4	658	0.81
1684489521.6853962	3	890	1.1
1684489522.3245378	3	1194	1.47
1684489522.9815943	10	1386	1.71
1684489523.6216743	55	4102	5.05
1684489524.2616484	100	7004	8.62
1684489524.9122667	96	7136	8.78
1684489525.5684445	100	7328	9.02
1684489526.2073953	96	7328	9.02
1684489526.857997	100	7424	9.14
1684489527.4931092	96	7564	9.31
1684489528.149618	95	7564	9.31
1684489528.7882986	99	7656	9.42
1684489529.4387374	96	7700	9.48
1684489530.0803888	100	7792	9.59
1684489530.7159047	91	7976	9.82
1684489531.362352	98	7976	9.82
1684489532.0046828	97	8116	9.99
1684489532.639402	82	8116	9.99
1684489533.2938907	95	8208	10.1
1684489533.932416	96	8252	10.16
1684489534.5695226	100	8344	10.27
1684489535.204147	96	8528	10.5
1684489535.8569052	100	8528	10.5
1684489536.4995124	97	8668	10.67
1684489537.1390302	96	8668	10.67
1684489537.793723	100	8760	10.78
1684489538.4408147	95	8804	10.84
1684489539.0994966	100	8896	10.95
1684489539.7457066	96	9080	11.18
1684489540.3960183	96	9080	11.18
1684489541.0531073	98	9220	11.35
1684489541.7082632	96	9220	11.35
1684489542.368013	100	9312	11.46
1684489543.0258431	94	9448	11.63
1684489543.6875174	97	9492	11.68
1684489544.345981	97	9632	11.85
1684489545.0005655	95	9632	11.85
1684489545.6558208	100	9772	12.03
1684489546.3027172	94	9864	12.14
1684489546.9608958	97	9908	12.19
1684489547.6189525	92	10000	12.31
1684489548.2714617	96	10044	12.36
1684489548.9069622	100	10184	12.53
1684489549.5540428	95	10324	12.71
1684489550.1889896	100	10324	12.71
1684489550.821387	95	10416	12.82
1684489551.4766192	96	10460	12.87
1684489552.1337357	100	10552	12.99
1684489552.764809	96	10596	13.04
1684489553.4233482	100	10736	13.21
1684489554.0801914	95	10876	13.39
1684489554.7365217	95	10876	13.39
1684489555.3831644	100	10968	13.5
1684489556.016267	96	11012	13.55
1684489556.6555164	100	11104	13.67
1684489557.2979934	95	11288	13.89
1684489557.9328191	96	11288	13.89
1684489558.5736418	98	11428	14.07
1684489559.2181878	93	11428	14.07
1684489559.8601105	100	11520	14.18
1684489560.4911244	96	11564	14.23
1684489561.1446362	100	11656	14.35
1684489561.7990606	87	11700	14.4
1684489562.437668	100	11840	14.57
1684489563.0758274	95	11980	14.74
1684489563.711118	98	11980	14.74
1684489564.3436973	96	12072	14.86
1684489565.0232358	95	12116	14.91
1684489565.685695	100	12208	15.03
1684489566.378937	94	12392	15.25
1684489567.0550632	96	12392	15.25
1684489567.7108998	98	12532	15.42
1684489568.3674028	96	12532	15.42
1684489569.042072	100	12624	15.54
1684489569.696997	92	12760	15.7
1684489570.353218	100	12804	15.76
1684489571.034764	100	12944	15.93
1684489571.674669	96	12944	15.93
1684489572.3333066	100	13084	16.1
1684489573.0165782	92	13176	16.22
1684489573.673568	95	13220	16.27
1684489574.314057	100	13312	16.38
1684489574.9721434	96	13356	16.44
1684489575.6292546	100	13496	16.61
1684489576.2672932	95	13636	16.78
1684489576.9123657	96	13636	16.78
1684489577.5762515	98	13728	16.9
1684489578.2283142	96	13772	16.95
1684489578.885142	100	13864	17.06
1684489579.5187118	95	14048	17.29
1684489580.1785855	97	14048	17.29
1684489580.8122735	93	14188	17.46
1684489581.4686873	95	14188	17.46
1684489582.1229105	100	14280	17.58
1684489582.7786095	96	14368	17.68
1684489583.4373734	100	14460	17.8
1684489584.0925784	93	14600	17.97
1684489584.7472396	96	14600	17.97
1684489585.4412172	100	14740	18.14
1684489586.1023462	95	14832	18.25
1684489586.758459	95	14876	18.31
1684489587.4102314	100	14968	18.42
1684489588.0463006	94	15012	18.48
1684489588.6964366	100	15152	18.65
1684489589.3546631	95	15292	18.82
1684489590.0100188	96	15292	18.82
1684489590.6667786	98	15384	18.93
1684489591.3262975	95	15428	18.99
1684489591.9729416	100	15520	19.1
1684489592.6085095	94	15704	19.33
1684489593.263219	97	15704	19.33
1684489593.8989806	93	15844	19.5
1684489594.5593407	95	15844	19.5
1684489595.1942022	100	15936	19.61
1684489595.8296664	95	15980	19.67
1684489596.4850135	100	16072	19.78
1684489597.1185565	95	16256	20.01
1684489597.7648473	100	16256	20.01
1684489598.3992412	94	16396	20.18
1684489599.0303478	96	16396	20.18
1684489599.659902	100	16488	20.29
1684489600.292318	96	16532	20.35
1684489600.9738111	100	16624	20.46
1684489601.6068506	95	16808	20.69
1684489602.2397258	100	16808	20.69
1684489602.8915806	98	16948	20.86
1684489603.5242875	96	16948	20.86
1684489604.160683	100	17040	20.97
1684489604.8173337	96	17084	21.03
1684489605.484021	100	17176	21.14
1684489606.1379166	93	17360	21.37
1684489606.7871742	97	17360	21.37
1684489607.4349241	97	17500	21.54
1684489608.0788956	95	17500	21.54
1684489608.7335212	100	17592	21.65
1684489609.3923395	91	17636	21.71
1684489610.0473442	100	17728	21.82
1684489610.703431	95	17912	22.05
1684489611.3563395	95	17912	22.05
1684489612.0014892	98	18052	22.22
1684489612.6416867	96	18052	22.22
1684489613.3026137	100	18144	22.33
1684489613.9592693	92	18280	22.5
1684489614.5962076	95	18324	22.55
1684489615.2319732	98	18464	22.72
1684489615.8654947	94	18464	22.72
1684489616.5224946	100	18604	22.9
1684489617.1544337	96	18604	22.9
1684489617.8346395	100	18696	23.01
1684489618.4733477	95	18832	23.18
1684489619.12289	100	18876	23.23
1684489619.7598069	96	19016	23.4
1684489620.411961	96	19016	23.4
1684489621.0439441	100	19156	23.58
1684489621.6754107	96	19156	23.58
1684489622.3350835	100	19248	23.69
1684489622.9699314	95	19384	23.86
1684489623.6040287	100	19428	23.91
1684489624.240009	100	19568	24.08
1684489624.872745	96	19568	24.08
1684489625.5037086	100	19708	24.26
1684489626.1505442	96	19708	24.26
1684489626.789766	100	19800	24.37
1684489627.426737	96	19936	24.54
1684489628.071415	96	19980	24.59
1684489628.7068076	99	20120	24.76
1684489629.3414493	96	20120	24.76
1684489629.9909258	100	20260	24.94
1684489630.6403334	96	20260	24.94
1684489631.304658	100	20352	25.05
1684489631.956506	96	20488	25.22
1684489632.5964897	97	20532	25.27
1684489633.2399955	97	20672	25.44
1684489633.876498	95	20672	25.44
1684489634.521971	100	20812	25.61
1684489635.1679442	95	20812	25.61
1684489635.8083844	100	20904	25.73
1684489636.465989	95	21040	25.9
1684489637.107539	100	21084	25.95
1684489637.746635	95	21224	26.12
1684489638.3992972	96	21224	26.12
1684489639.0549238	100	21364	26.29
1684489639.706051	95	21408	26.35
1684489640.3615155	100	21456	26.41
1684489641.0044022	94	21592	26.57
1684489641.653626	97	21636	26.63
1684489642.30052	96	21776	26.8
1684489642.957526	94	21776	26.8
1684489643.6101842	100	21916	26.97
1684489644.2623165	95	22008	27.09
1684489644.9068635	100	22052	27.14
1684489645.5464714	96	22144	27.25
1684489646.1901937	95	22188	27.31
1684489646.842504	100	22328	27.48
1684489647.4917097	95	22328	27.48
1684489648.1447127	100	22468	27.65
1684489648.7873383	95	22560	27.77
1684489649.44212	100	22604	27.82
1684489650.0831463	100	22696	27.93
1684489650.7351162	95	22740	27.99
1684489651.377833	100	22880	28.16
1684489652.0198221	95	23020	28.33
1684489652.6669557	94	23020	28.33
1684489653.310102	100	23112	28.45
1684489653.9507382	96	23156	28.5
1684489654.6059008	100	23248	28.61
1684489655.2489738	94	23432	28.84
1684489655.9069493	100	23432	28.84
1684489656.5605013	98	23572	29.01
1684489657.2023385	95	23572	29.01
1684489657.84263	100	23664	29.12
1684489658.5026488	95	23708	29.18
1684489659.157379	100	23800	29.29
1684489659.8002079	95	23984	29.52
1684489660.4493055	100	23984	29.52
1684489661.0941434	95	24124	29.69
1684489661.7340891	95	24124	29.69
1684489662.3675914	100	24216	29.8
1684489663.020473	95	24260	29.86
1684489663.6712554	100	24352	29.97
1684489664.3483257	96	24536	30.2
1684489665.0181153	95	24536	30.2
1684489665.677698	99	24676	30.37
1684489666.3839173	94	24676	30.37
1684489667.0459175	100	24768	30.48
1684489667.7101183	95	24904	30.65
1684489668.3701138	100	24948	30.7
1684489669.0598154	100	25088	30.88
1684489669.7263942	95	25088	30.88
1684489670.387976	100	25228	31.05
1684489671.0689902	96	25320	31.16
1684489671.7250338	95	25364	31.22
1684489672.389829	100	25456	31.33
