Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1684477745.525613	0	3	0.0
1684477746.1784644	3	672	0.83
1684477746.833759	4	936	1.15
1684477747.4878657	3	1240	1.53
1684477748.1226149	16	1386	1.71
1684477748.817869	25	1942	2.39
1684477749.4817612	57	1986	2.44
1684477750.1271636	54	1986	2.44
1684477750.7681649	53	1986	2.44
1684477751.4156315	51	1986	2.44
1684477752.0716522	57	1986	2.44
1684477752.7175713	54	1986	2.44
1684477753.366106	49	1986	2.44
1684477754.0112336	54	1986	2.44
1684477754.6676815	50	1986	2.44
1684477755.315214	53	1986	2.44
1684477755.9577208	58	1986	2.44
1684477756.6056654	59	1986	2.44
1684477757.2469964	56	1986	2.44
1684477757.8987384	54	1986	2.44
1684477758.5510542	52	1986	2.44
1684477759.2114632	49	1986	2.44
1684477759.85469	50	1986	2.44
1684477760.5146155	51	1986	2.44
1684477761.1696234	49	1986	2.44
1684477761.8238313	52	1986	2.44
1684477762.467892	52	1986	2.44
1684477763.1116283	57	1986	2.44
1684477763.7698824	52	1986	2.44
1684477764.4194393	57	1986	2.44
1684477765.0604732	53	1986	2.44
1684477765.7185428	53	1986	2.44
1684477766.3666022	49	1986	2.44
1684477767.0112903	54	1986	2.44
1684477767.6544821	59	1986	2.44
1684477768.2988248	55	1986	2.44
1684477768.977113	58	1986	2.44
1684477769.6251993	52	1986	2.44
1684477770.2726345	56	1986	2.44
1684477770.9141843	57	1986	2.44
1684477771.5725513	54	1986	2.44
1684477772.2210538	53	1986	2.44
1684477772.8644345	59	1986	2.44
1684477773.527542	52	1986	2.44
1684477774.1715128	50	1986	2.44
1684477774.835977	56	1986	2.44
1684477775.4846718	55	1986	2.44
1684477776.1340463	54	1986	2.44
1684477776.779015	57	1986	2.44
1684477777.421905	54	1986	2.44
1684477778.063802	44	1986	2.44
1684477778.699205	8	1986	2.44
1684477779.3519478	9	1986	2.44
1684477779.9957256	9	1986	2.44
