Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1684477705.2265615	0	3	0.0
1684477705.8962371	2	568	0.7
1684477706.5960765	3	750	0.92
1684477707.2555583	1	934	1.15
1684477707.906177	3	1082	1.33
1684477708.5606527	3	1304	1.6
1684477709.2189367	13	1386	1.71
1684477709.8728862	7	1386	1.71
1684477710.5215712	49	1984	2.44
1684477711.169143	46	1984	2.44
1684477711.814536	57	1984	2.44
1684477712.4600897	56	1984	2.44
1684477713.099439	56	1984	2.44
1684477713.7460675	53	1984	2.44
1684477714.3851252	55	1984	2.44
1684477715.0224679	56	1984	2.44
1684477715.6636493	57	1984	2.44
1684477716.2991729	55	1984	2.44
1684477716.9368484	58	1984	2.44
1684477717.5777624	54	1984	2.44
1684477718.225229	59	1984	2.44
1684477718.8627007	53	1984	2.44
1684477719.5163937	53	1984	2.44
1684477720.151936	58	1984	2.44
1684477720.8086264	57	1984	2.44
1684477721.457003	54	1984	2.44
1684477722.105605	60	1984	2.44
1684477722.8744643	55	1984	2.44
1684477723.5209832	56	1984	2.44
1684477724.1625767	58	1984	2.44
1684477724.8093078	52	1984	2.44
1684477725.4485688	50	1984	2.44
1684477726.101408	52	1984	2.44
1684477726.7448928	56	1984	2.44
1684477727.389572	57	1984	2.44
1684477728.0285943	54	1984	2.44
1684477728.6851776	60	1984	2.44
1684477729.3330083	54	1984	2.44
1684477729.98261	56	1984	2.44
1684477730.6219766	54	1984	2.44
1684477731.2706225	56	1984	2.44
1684477731.9210792	54	1984	2.44
1684477732.578669	48	1984	2.44
1684477733.2371109	56	1984	2.44
1684477733.8950036	55	1984	2.44
1684477734.5546124	60	1984	2.44
1684477735.1974285	53	1984	2.44
1684477735.8426268	60	1984	2.44
1684477736.4928877	57	1984	2.44
1684477737.1554484	54	1984	2.44
1684477737.7950258	57	1984	2.44
1684477738.4396818	53	1984	2.44
1684477739.0734677	0	1984	2.44
1684477739.7073352	9	1984	2.44
1684477740.3490279	0	1984	2.44
1684477741.0064635	0	1984	2.44
