Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1685678717.6225061	0	3	0.0
1685678718.3523881	2	598	0.74
1685678718.993566	3	814	1.0
1685678719.6503117	6	1042	1.28
1685678720.8715928	0	1042	1.28
1685678722.2697945	0	1042	1.28
1685678723.2656279	0	1042	1.28
1685678724.669701	0	1042	1.28
1685678725.300188	0	1042	1.28
1685678725.9312932	0	1042	1.28
1685678726.5701237	0	1042	1.28
1685678727.2001173	0	1042	1.28
1685678727.8554616	0	1042	1.28
1685678728.4899142	0	1042	1.28
1685678729.133257	0	1042	1.28
