Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1684480137.5922403	0	3	0.0
1684480138.2410388	4	672	0.83
1684480138.898408	3	886	1.09
1684480139.535944	4	1194	1.47
1684480140.1833591	35	1386	1.71
1684480140.8241556	42	1942	2.39
1684480141.486989	51	1942	2.39
1684480142.1332576	54	1942	2.39
1684480142.781247	53	1942	2.39
1684480143.42268	61	1942	2.39
1684480144.062444	58	1942	2.39
1684480144.6972592	56	1942	2.39
1684480145.3326993	54	1942	2.39
1684480145.9774196	49	1942	2.39
1684480146.6177473	51	1942	2.39
1684480147.2781985	61	1942	2.39
1684480147.9191062	61	1942	2.39
1684480148.5551043	53	1942	2.39
1684480149.195056	48	1942	2.39
1684480149.8460407	48	1942	2.39
1684480150.4882486	58	1942	2.39
1684480151.1435544	46	1942	2.39
1684480151.78405	49	1942	2.39
1684480152.430695	54	1942	2.39
1684480153.067893	47	1942	2.39
1684480153.7105904	57	1942	2.39
1684480154.3594713	53	1942	2.39
1684480155.0055554	54	1942	2.39
1684480155.6497316	49	1942	2.39
1684480156.2922359	47	1942	2.39
1684480156.9277704	9	1942	2.39
1684480157.5627205	0	1942	2.39
1684480158.1962698	9	1942	2.39
