Timestamp	GPU_Usage_Percentage	GPU_Total_Mem_Usage	GPU_Total_Mem_Usage_Percentage
1684477784.7796528	0	3	0.0
1684477785.4268167	4	714	0.88
1684477786.076088	6	942	1.16
1684477786.7042613	2	1164	1.43
1684477787.3498914	3	1386	1.71
1684477788.0138848	32	1676	2.06
1684477788.6485643	58	1940	2.39
1684477789.285112	52	1940	2.39
1684477789.918132	58	1940	2.39
1684477790.562433	54	1940	2.39
1684477791.2025232	49	1940	2.39
1684477791.8426301	54	1940	2.39
1684477792.478527	49	1940	2.39
1684477793.1136312	54	1940	2.39
1684477793.7485456	57	1940	2.39
1684477794.3945785	49	1940	2.39
1684477795.035535	58	1940	2.39
1684477795.6725428	49	1940	2.39
1684477796.3102689	57	1940	2.39
1684477796.9480953	48	1940	2.39
1684477797.5812874	58	1940	2.39
1684477798.2650363	48	1940	2.39
1684477798.9287195	46	1940	2.39
1684477799.6007056	58	1940	2.39
1684477800.2355275	50	1940	2.39
1684477800.879829	51	1940	2.39
1684477801.5463443	57	1940	2.39
1684477802.231728	58	1940	2.39
1684477802.877908	45	1940	2.39
1684477803.5163264	58	1940	2.39
1684477804.1805823	22	1940	2.39
1684477804.8374624	9	1940	2.39
1684477805.508314	4	1940	2.39
1684477806.1852174	9	1940	2.39
1684477806.8492618	17	1940	2.39
